Crop,State,Soil_Type,Season,Crop_Water_Requirement_mm,Rainfall_mm,Effective_Rainfall_mm,Irrigation_Efficiency,Net_Irrigation_Requirement_mm,Recommended_Water_mm,Potential_Water_Saving_Percent,Water_Saving_Method,Farm_Area_Hectares,Recommended_Water_m3
Banana,Andhra Pradesh,Alluvial,Kharif,1241.02,1326.53,793.16,0.749,398.22,531.9,44.29,Alternate Wetting / Controlled Irrigation,32.67,173771.73
Lentil,Odisha,Alluvial,Rabi,341.63,948.92,273.3,0.876,54.66,62.43,42.7,Alternate Wetting / Controlled Irrigation,13.45,8396.83
Sugarcane,Uttarakhand,Black,Kharif,1394.88,414.9,302.74,0.911,1064.25,1168.75,20.39,Drip Irrigation,5.77,67436.87
Mustard,Maharashtra,Alluvial,Rabi,312.36,1524.3,249.89,0.708,49.98,70.54,30.53,Alternate Wetting / Controlled Irrigation,39.78,28060.81
Millet,Bihar,Sandy,Kharif,335.29,330.3,216.35,0.854,159.18,186.37,29.94,Drip Irrigation,14.85,27675.94
Pigeonpea,Uttar Pradesh,Red,Kharif,509.47,575.8,351.78,0.733,183.16,249.71,26.66,Drip or Sprinkler Irrigation,55.98,139787.66
Banana,Uttar Pradesh,Loamy,Kharif,1351.79,338.8,278.66,0.707,1073.12,1516.95,32.25,Controlled Irrigation,31.88,483603.66
Onion,Jharkhand,Loamy,Kharif,433.96,577.39,347.17,0.685,86.79,126.76,32.2,Controlled Irrigation,95.91,121575.52
Sugarcane,Odisha,Black,Kharif,1448.13,786.07,639.46,0.863,779.7,902.98,18.05,Drip Irrigation,95.3,860539.94
Cabbage,Haryana,Alluvial,Rabi,360.67,1393.68,288.53,0.696,57.71,82.89,28.69,Alternate Wetting / Controlled Irrigation,27.35,22670.42
Groundnut,Assam,Red,Kharif,487.0,1726.04,389.6,0.816,121.75,149.19,37.01,Drip or Sprinkler Irrigation,53.24,79428.76
Mustard,Tamil Nadu,Loamy,Rabi,450.39,906.56,360.31,0.731,90.08,123.25,33.6,Controlled Irrigation,9.71,11967.58
Banana,Uttar Pradesh,Black,Kharif,1097.63,1139.79,647.68,0.835,427.99,512.71,31.63,Drip Irrigation,25.45,130484.7
Sugarcane,Telangana,Black,Kharif,1667.1,1594.78,1333.68,0.855,300.08,351.07,42.04,Drip Irrigation,2.93,10286.35
Onion,Jharkhand,Red,Kharif,510.36,1698.76,408.29,0.778,127.59,163.93,42.02,Drip or Sprinkler Irrigation,14.0,22950.2
Millet,Karnataka,Sandy,Kharif,463.95,1489.0,371.16,0.91,148.46,163.2,40.14,Drip Irrigation,8.34,13610.88
Banana,Gujarat,Black,Kharif,1229.41,1147.69,966.91,0.695,237.91,342.23,39.49,Drip Irrigation,22.32,76385.74
Cabbage,Tamil Nadu,Red,Rabi,438.24,577.35,350.59,0.701,109.56,156.29,26.8,Drip or Sprinkler Irrigation,82.3,128626.67
Maize,Haryana,Alluvial,Kharif,719.1,729.84,419.99,0.704,270.34,383.97,34.01,Alternate Wetting / Controlled Irrigation,88.37,339314.29
Cotton,Odisha,Alluvial,Kharif,653.14,655.57,522.52,0.725,104.5,144.12,44.76,Alternate Wetting / Controlled Irrigation,83.8,120772.56
Tomato,Karnataka,Red,Rabi,449.74,340.54,239.66,0.863,232.56,269.39,18.42,Drip or Sprinkler Irrigation,57.54,155007.01
Wheat,Punjab,Loamy,Rabi,576.13,1706.8,460.9,0.91,115.23,126.69,40.85,Controlled Irrigation,1.73,2191.74
Potato,Kerala,Sandy,Rabi,415.65,1424.93,332.52,0.91,133.01,146.21,43.66,Drip Irrigation,4.98,7281.26
Millet,Gujarat,Red,Kharif,404.96,1688.18,323.97,0.909,101.24,111.34,38.96,Drip or Sprinkler Irrigation,51.77,57640.72
Rice,Punjab,Clay,Kharif,1106.99,487.96,363.98,0.802,654.45,816.19,26.22,Alternate Wetting and Drying,1.91,15589.23
Jute,Tamil Nadu,Alluvial,Kharif,703.82,673.91,412.43,0.654,263.24,402.38,28.56,Alternate Wetting / Controlled Irrigation,10.9,43859.42
Groundnut,Assam,Sandy,Kharif,566.52,1225.86,453.22,0.903,181.29,200.84,27.75,Drip Irrigation,8.17,16408.63
Cotton,Maharashtra,Alluvial,Kharif,568.48,917.87,454.78,0.755,90.96,120.41,38.72,Alternate Wetting / Controlled Irrigation,50.09,60313.37
Pigeonpea,Odisha,Loamy,Kharif,575.55,1084.43,460.44,0.658,115.11,174.83,30.41,Controlled Irrigation,88.02,153885.37
Barley,Himachal Pradesh,Loamy,Rabi,490.34,1217.76,392.27,0.778,98.07,125.97,34.4,Controlled Irrigation,88.35,111294.5
Groundnut,Assam,Sandy,Kharif,571.4,311.91,198.03,0.865,441.94,511.11,27.06,Drip Irrigation,76.42,390590.26
Onion,Madhya Pradesh,Red,Kharif,471.63,1736.61,377.3,0.787,117.91,149.77,29.73,Drip or Sprinkler Irrigation,45.84,68654.57
Soybean,Haryana,Black,Kharif,606.0,680.43,454.04,0.749,139.84,186.7,29.4,Drip Irrigation,53.68,100220.56
Potato,Bihar,Alluvial,Rabi,541.25,376.24,210.11,0.777,309.48,398.36,26.9,Alternate Wetting / Controlled Irrigation,59.86,238458.3
Onion,Gujarat,Loamy,Rabi,414.82,1123.9,331.86,0.719,82.96,115.31,32.41,Controlled Irrigation,78.45,90460.7
Cabbage,Gujarat,Red,Rabi,372.3,435.81,293.6,0.92,97.32,105.81,44.06,Drip or Sprinkler Irrigation,93.79,99239.2
Maize,Karnataka,Loamy,Rabi,679.37,1667.63,543.5,0.842,135.87,161.28,25.79,Controlled Irrigation,63.47,102364.42
Chickpea,Assam,Red,Rabi,489.34,644.9,391.47,0.688,122.33,177.69,35.46,Drip or Sprinkler Irrigation,20.98,37279.36
Pigeonpea,Uttarakhand,Loamy,Kharif,574.02,732.15,432.0,0.758,142.01,187.35,27.87,Controlled Irrigation,44.51,83389.48
Millet,Tamil Nadu,Loamy,Kharif,406.07,830.27,324.86,0.83,81.21,97.79,35.94,Controlled Irrigation,5.99,5857.62
Millet,Telangana,Loamy,Kharif,402.26,985.52,321.81,0.884,80.45,91.04,31.1,Controlled Irrigation,94.51,86041.9
Onion,Madhya Pradesh,Sandy,Kharif,482.09,917.28,385.67,0.709,154.27,217.64,43.46,Drip Irrigation,72.27,157288.43
Wheat,Himachal Pradesh,Loamy,Rabi,557.32,1534.4,445.86,0.687,111.46,162.13,36.72,Controlled Irrigation,80.42,130384.95
Chickpea,Madhya Pradesh,Loamy,Rabi,355.4,1020.49,284.32,0.721,71.08,98.56,34.95,Controlled Irrigation,87.36,86102.02
Barley,Jharkhand,Loamy,Rabi,377.85,545.87,302.28,0.814,75.57,92.81,29.2,Controlled Irrigation,37.26,34581.01
Wheat,Assam,Clay,Rabi,625.15,707.76,500.12,0.765,75.02,98.08,39.3,Alternate Wetting and Drying,44.03,43184.62
Maize,Maharashtra,Loamy,Kharif,747.27,1717.72,597.82,0.679,149.45,220.23,27.59,Controlled Irrigation,44.42,97826.17
Maize,Haryana,Alluvial,Rabi,586.22,390.06,233.04,0.784,329.73,420.33,20.8,Alternate Wetting / Controlled Irrigation,30.3,127359.99
Wheat,Odisha,Loamy,Rabi,479.0,1058.93,383.2,0.703,95.8,136.24,26.1,Controlled Irrigation,94.17,128297.21
Carrot,Bihar,Loamy,Rabi,398.7,1260.31,318.96,0.674,79.74,118.38,29.68,Controlled Irrigation,48.85,57828.63
Rice,Gujarat,Loamy,Kharif,1166.04,973.47,826.36,0.917,339.68,370.26,34.49,Controlled Irrigation,65.35,241964.91
Wheat,Karnataka,Alluvial,Rabi,466.14,751.54,372.91,0.714,74.58,104.43,34.06,Alternate Wetting / Controlled Irrigation,81.07,84661.4
Millet,Bihar,Red,Kharif,443.22,803.53,354.58,0.88,110.8,125.91,28.68,Drip or Sprinkler Irrigation,50.84,64012.64
Cotton,Kerala,Black,Kharif,595.74,500.45,314.85,0.815,268.98,329.91,14.31,Drip Irrigation,42.73,140970.54
Cotton,Maharashtra,Alluvial,Kharif,719.54,1099.81,575.64,0.718,115.13,160.42,39.43,Alternate Wetting / Controlled Irrigation,43.78,70231.88
Rice,Gujarat,Alluvial,Kharif,1158.02,738.06,582.29,0.894,529.41,592.42,33.67,Alternate Wetting / Controlled Irrigation,9.71,57523.98
Onion,Punjab,Sandy,Kharif,446.01,1653.04,356.8,0.788,142.72,181.13,35.92,Drip Irrigation,79.81,144559.85
Pigeonpea,Assam,Black,Kharif,512.67,1562.59,410.13,0.752,92.28,122.67,40.07,Drip Irrigation,94.4,115800.48
Potato,Bihar,Alluvial,Rabi,584.93,994.87,467.94,0.72,93.59,129.96,32.33,Alternate Wetting / Controlled Irrigation,12.18,15829.13
Wheat,Karnataka,Clay,Rabi,583.81,1098.11,467.05,0.771,70.06,90.85,30.86,Alternate Wetting and Drying,57.37,52120.64
Cabbage,West Bengal,Loamy,Rabi,429.02,1490.12,343.22,0.911,85.8,94.18,36.72,Controlled Irrigation,33.25,31314.85
Sugarcane,Bihar,Loamy,Kharif,1440.66,1327.58,802.26,0.896,638.4,712.71,37.94,Controlled Irrigation,84.3,600814.53
Barley,Karnataka,Alluvial,Rabi,376.22,295.06,219.75,0.76,141.42,186.14,24.35,Alternate Wetting / Controlled Irrigation,55.51,103326.31
Wheat,Uttarakhand,Loamy,Rabi,523.89,675.01,419.12,0.847,104.78,123.72,43.46,Controlled Irrigation,73.41,90822.85
Tomato,Andhra Pradesh,Loamy,Kharif,414.65,526.11,331.72,0.677,82.93,122.45,28.73,Controlled Irrigation,83.9,102735.55
Mustard,Gujarat,Loamy,Rabi,364.64,1166.17,291.71,0.818,72.93,89.17,30.9,Controlled Irrigation,38.44,34276.95
Chickpea,Karnataka,Black,Rabi,395.88,1656.49,316.7,0.676,71.26,105.44,43.31,Drip Irrigation,34.64,36524.42
Chickpea,Madhya Pradesh,Black,Rabi,398.24,1533.0,318.59,0.858,71.68,83.54,30.36,Drip Irrigation,66.77,55779.66
Lentil,Jharkhand,Alluvial,Rabi,347.7,999.5,278.16,0.907,55.63,61.35,32.7,Alternate Wetting / Controlled Irrigation,31.93,19589.06
Lentil,West Bengal,Loamy,Rabi,322.88,1054.09,258.31,0.779,64.58,82.85,39.62,Controlled Irrigation,66.11,54772.13
Barley,Assam,Alluvial,Rabi,426.55,1039.42,341.24,0.655,68.25,104.12,39.19,Alternate Wetting / Controlled Irrigation,63.97,66605.56
Onion,Odisha,Loamy,Kharif,455.79,301.9,209.01,0.753,246.78,327.55,16.38,Controlled Irrigation,99.81,326927.66
Potato,Andhra Pradesh,Loamy,Rabi,538.08,924.39,430.47,0.762,107.62,141.19,33.76,Controlled Irrigation,39.85,56264.22
Tomato,Maharashtra,Red,Kharif,401.26,1656.93,321.01,0.669,100.32,149.91,35.48,Drip or Sprinkler Irrigation,65.86,98730.73
Mustard,Madhya Pradesh,Loamy,Rabi,379.27,1240.07,303.42,0.717,75.85,105.76,35.73,Controlled Irrigation,53.36,56433.54
Lentil,Kerala,Alluvial,Rabi,444.3,1345.6,355.44,0.919,71.09,77.37,36.11,Alternate Wetting / Controlled Irrigation,34.01,26313.54
Jute,Maharashtra,Loamy,Kharif,763.5,1643.17,610.8,0.846,152.7,180.51,34.69,Controlled Irrigation,74.07,133703.76
Carrot,Uttarakhand,Sandy,Rabi,461.37,411.41,234.87,0.686,281.86,410.79,26.62,Drip Irrigation,69.88,287060.05
Onion,Maharashtra,Red,Kharif,517.18,683.68,400.12,0.79,142.91,180.87,28.5,Drip or Sprinkler Irrigation,30.0,54261.0
Lentil,Punjab,Loamy,Rabi,420.93,414.01,320.39,0.816,100.55,123.24,28.8,Controlled Irrigation,93.08,114711.79
Sugarcane,Assam,Black,Kharif,1524.4,563.85,370.46,0.839,1123.46,1339.36,21.23,Drip Irrigation,52.14,698342.3
Groundnut,Maharashtra,Sandy,Kharif,446.38,1302.43,357.1,0.669,142.84,213.45,28.63,Drip Irrigation,49.57,105807.16
Chickpea,Andhra Pradesh,Loamy,Rabi,400.17,486.86,320.14,0.709,80.03,112.89,28.53,Controlled Irrigation,75.11,84791.68
Carrot,Karnataka,Loamy,Rabi,495.24,300.77,235.17,0.848,260.07,306.78,11.68,Controlled Irrigation,86.46,265241.99
Groundnut,Chhattisgarh,Loamy,Kharif,496.08,1595.64,396.86,0.795,99.22,124.8,41.56,Controlled Irrigation,54.62,68165.76
Maize,Madhya Pradesh,Sandy,Kharif,679.5,658.18,366.1,0.881,394.94,448.43,41.0,Drip Irrigation,33.94,152197.14
Groundnut,Haryana,Loamy,Kharif,446.69,1072.67,357.35,0.878,89.34,101.7,34.3,Controlled Irrigation,82.34,83739.78
Maize,Uttarakhand,Sandy,Rabi,739.79,1625.91,591.83,0.726,236.73,325.88,35.24,Drip Irrigation,22.24,72475.71
Groundnut,Karnataka,Sandy,Kharif,603.88,1479.27,483.1,0.854,193.24,226.18,41.14,Drip Irrigation,29.48,66677.86
Millet,Assam,Loamy,Kharif,308.41,877.36,246.73,0.881,61.68,69.99,25.15,Controlled Irrigation,16.21,11345.38
Sugarcane,Jharkhand,Black,Kharif,1607.76,451.12,269.27,0.892,1306.34,1464.36,32.74,Drip Irrigation,59.78,875394.41
Carrot,Maharashtra,Sandy,Rabi,420.95,380.73,217.96,0.668,253.5,379.71,41.19,Drip Irrigation,50.09,190196.74
Carrot,Karnataka,Sandy,Rabi,388.97,1163.4,311.17,0.794,124.47,156.78,39.28,Drip Irrigation,20.38,31951.76
Cotton,Himachal Pradesh,Alluvial,Kharif,553.66,444.72,290.52,0.799,240.99,301.45,33.5,Alternate Wetting / Controlled Irrigation,37.68,113586.36
Potato,Odisha,Loamy,Rabi,504.07,1486.96,403.26,0.72,100.81,140.05,37.39,Controlled Irrigation,64.85,90822.42
Onion,Tamil Nadu,Red,Kharif,520.73,865.28,416.58,0.873,130.18,149.2,26.18,Drip or Sprinkler Irrigation,42.76,63797.92
Pigeonpea,Uttar Pradesh,Black,Kharif,461.76,1399.24,369.41,0.877,83.12,94.79,43.79,Drip Irrigation,72.06,68305.67
Chickpea,Assam,Loamy,Rabi,421.11,1552.39,336.89,0.669,84.22,125.89,35.23,Controlled Irrigation,84.58,106477.76
Chickpea,Uttar Pradesh,Red,Rabi,368.69,1131.25,294.95,0.713,92.17,129.23,40.32,Drip or Sprinkler Irrigation,28.9,37347.47
Maize,Rajasthan,Sandy,Rabi,708.08,533.5,398.41,0.668,394.64,590.38,11.3,Drip Irrigation,29.74,175579.01
Banana,Uttar Pradesh,Alluvial,Kharif,1276.62,1725.91,1021.3,0.735,204.26,278.0,29.86,Alternate Wetting / Controlled Irrigation,39.45,109671.0
Barley,Uttarakhand,Alluvial,Rabi,496.82,1404.29,397.46,0.682,79.49,116.57,27.93,Alternate Wetting / Controlled Irrigation,74.56,86914.59
Soybean,Karnataka,Red,Kharif,571.0,434.18,260.37,0.788,339.18,430.29,24.76,Drip or Sprinkler Irrigation,47.31,203570.2
Sugarcane,Karnataka,Loamy,Kharif,1397.62,1639.24,1118.1,0.657,279.52,425.41,29.5,Controlled Irrigation,32.76,139364.32
Millet,Kerala,Sandy,Kharif,468.4,1668.68,374.72,0.732,149.89,204.8,36.64,Drip Irrigation,49.31,100986.88
Banana,Bihar,Loamy,Kharif,1207.57,1262.76,860.86,0.747,346.71,464.12,40.13,Controlled Irrigation,23.14,107397.37
Barley,Chhattisgarh,Loamy,Rabi,466.75,1486.91,373.4,0.852,93.35,109.62,34.37,Controlled Irrigation,12.36,13549.03
Cabbage,Maharashtra,Alluvial,Rabi,425.12,1606.29,340.1,0.694,68.02,97.99,39.85,Alternate Wetting / Controlled Irrigation,33.15,32483.68
Cabbage,Chhattisgarh,Loamy,Rabi,401.4,1451.61,321.12,0.794,80.28,101.06,35.21,Controlled Irrigation,10.74,10853.84
Groundnut,Odisha,Sandy,Kharif,553.4,604.08,400.97,0.81,218.83,270.2,27.76,Drip Irrigation,35.82,96785.64
Cotton,Gujarat,Black,Kharif,558.95,727.6,447.16,0.894,100.61,112.6,36.52,Drip Irrigation,35.77,40277.02
Rice,Telangana,Loamy,Kharif,1170.89,709.4,398.87,0.731,772.02,1055.42,17.87,Controlled Irrigation,90.71,957371.48
Pigeonpea,Uttar Pradesh,Black,Kharif,632.4,419.93,279.01,0.774,340.74,440.42,22.23,Drip Irrigation,95.28,419632.18
Groundnut,Rajasthan,Loamy,Kharif,610.56,1759.18,488.45,0.826,122.11,147.76,31.69,Controlled Irrigation,17.87,26404.71
Rice,Bihar,Alluvial,Kharif,1275.22,319.66,216.18,0.873,1008.03,1155.19,20.37,Alternate Wetting / Controlled Irrigation,46.5,537163.35
Potato,Gujarat,Loamy,Rabi,434.98,484.53,347.99,0.695,87.0,125.23,29.71,Controlled Irrigation,32.53,40737.32
Carrot,Uttarakhand,Sandy,Rabi,355.72,1254.24,284.58,0.661,113.83,172.23,35.73,Drip Irrigation,27.87,48000.5
Lentil,Odisha,Loamy,Rabi,445.52,961.75,356.42,0.822,89.1,108.44,42.29,Controlled Irrigation,28.43,30829.49
Pigeonpea,Haryana,Red,Kharif,605.17,423.75,300.9,0.728,334.52,459.59,23.12,Drip or Sprinkler Irrigation,94.88,436058.99
Lentil,Gujarat,Alluvial,Rabi,316.08,670.65,252.87,0.747,50.57,67.74,42.12,Alternate Wetting / Controlled Irrigation,65.15,44132.61
Carrot,Tamil Nadu,Sandy,Rabi,303.77,955.28,243.02,0.817,97.21,119.0,32.95,Drip Irrigation,87.99,104708.1
Barley,Uttar Pradesh,Loamy,Rabi,463.45,748.17,370.76,0.809,92.69,114.57,27.44,Controlled Irrigation,38.56,44178.19
Cotton,Bihar,Loamy,Kharif,640.1,918.38,512.08,0.731,128.02,175.22,26.7,Controlled Irrigation,28.96,50743.71
Banana,West Bengal,Alluvial,Kharif,1340.22,1386.68,1063.94,0.801,222.67,278.12,29.69,Alternate Wetting / Controlled Irrigation,74.27,206559.72
Barley,Maharashtra,Alluvial,Rabi,465.59,741.54,372.47,0.827,74.49,90.12,26.8,Alternate Wetting / Controlled Irrigation,30.24,27252.29
Rice,Karnataka,Loamy,Kharif,1142.43,817.46,456.87,0.663,685.56,1033.8,34.74,Controlled Irrigation,36.4,376303.2
Lentil,Kerala,Alluvial,Rabi,353.33,676.06,282.66,0.915,56.53,61.81,30.68,Alternate Wetting / Controlled Irrigation,92.23,57007.36
Sugarcane,Kerala,Loamy,Kharif,1300.82,1297.41,1003.98,0.718,296.84,413.65,39.48,Controlled Irrigation,86.27,356855.85
Soybean,Andhra Pradesh,Loamy,Kharif,675.93,1784.73,540.75,0.716,135.19,188.94,28.21,Controlled Irrigation,17.4,32875.56
Chickpea,West Bengal,Black,Rabi,355.57,1108.33,284.46,0.805,64.0,79.46,28.25,Drip Irrigation,38.88,30894.05
Barley,Jharkhand,Alluvial,Rabi,477.3,545.5,312.96,0.872,145.25,166.61,26.51,Alternate Wetting / Controlled Irrigation,45.02,75007.82
Soybean,Punjab,Red,Kharif,712.46,1770.96,569.97,0.831,178.12,214.23,43.25,Drip or Sprinkler Irrigation,64.81,138842.46
Barley,Odisha,Loamy,Rabi,482.53,614.95,386.03,0.784,96.51,123.08,29.23,Controlled Irrigation,6.13,7544.8
Maize,Karnataka,Alluvial,Rabi,545.45,763.77,436.36,0.757,87.27,115.24,44.73,Alternate Wetting / Controlled Irrigation,37.8,43560.72
Potato,Jharkhand,Sandy,Rabi,464.37,1578.6,371.49,0.709,148.6,209.64,42.28,Drip Irrigation,8.13,17043.73
Soybean,Himachal Pradesh,Loamy,Kharif,668.79,973.88,535.03,0.737,133.76,181.43,35.99,Controlled Irrigation,64.25,116568.78
Chickpea,Odisha,Black,Rabi,382.3,1704.85,305.84,0.822,68.81,83.67,37.46,Drip Irrigation,79.66,66651.52
Banana,Telangana,Loamy,Kharif,1132.37,552.47,349.1,0.722,783.27,1085.53,21.18,Controlled Irrigation,58.3,632863.99
Mustard,Madhya Pradesh,Loamy,Rabi,429.7,332.2,251.45,0.742,178.25,240.26,14.4,Controlled Irrigation,49.13,118039.74
Groundnut,Gujarat,Red,Kharif,450.17,251.44,141.23,0.778,331.45,426.07,16.82,Drip or Sprinkler Irrigation,33.05,140816.13
Chickpea,Punjab,Red,Rabi,382.26,730.5,305.81,0.775,95.57,123.28,27.52,Drip or Sprinkler Irrigation,56.99,70257.27
Cabbage,Bihar,Red,Rabi,433.35,1598.65,346.68,0.888,108.34,121.98,28.11,Drip or Sprinkler Irrigation,48.69,59392.06
Groundnut,Telangana,Red,Kharif,513.69,378.78,254.75,0.806,284.63,352.96,30.27,Drip or Sprinkler Irrigation,64.77,228612.19
Cabbage,Himachal Pradesh,Red,Rabi,524.98,674.24,419.98,0.693,131.24,189.52,30.62,Drip or Sprinkler Irrigation,24.45,46337.64
Rice,Punjab,Loamy,Kharif,1133.41,455.2,369.8,0.671,763.61,1138.12,33.6,Controlled Irrigation,42.57,484497.68
Maize,Himachal Pradesh,Alluvial,Kharif,684.29,1795.21,547.43,0.744,109.49,147.17,42.13,Alternate Wetting / Controlled Irrigation,53.75,79103.87
Barley,Rajasthan,Alluvial,Rabi,420.74,629.07,336.59,0.846,67.32,79.55,38.37,Alternate Wetting / Controlled Irrigation,79.86,63528.63
Onion,Kerala,Sandy,Rabi,454.98,1452.38,363.99,0.914,145.59,159.31,32.47,Drip Irrigation,99.82,159023.24
Groundnut,Telangana,Sandy,Kharif,421.61,913.24,337.29,0.695,134.92,194.07,29.92,Drip Irrigation,41.47,80480.83
Groundnut,Odisha,Sandy,Kharif,625.3,1128.74,500.24,0.702,200.09,284.9,35.13,Drip Irrigation,65.77,187378.73
Jute,Karnataka,Alluvial,Kharif,735.77,664.37,379.38,0.815,326.95,400.99,41.09,Alternate Wetting / Controlled Irrigation,29.86,119735.61
Onion,Assam,Loamy,Rabi,432.01,740.51,345.6,0.897,86.4,96.28,43.19,Controlled Irrigation,65.7,63255.96
Mustard,Rajasthan,Alluvial,Rabi,436.36,326.78,242.31,0.685,176.6,257.65,15.24,Alternate Wetting / Controlled Irrigation,14.79,38106.43
Rice,Kerala,Clay,Kharif,1185.78,360.96,246.52,0.66,844.4,1279.7,25.43,Alternate Wetting and Drying,25.74,329394.78
Barley,Uttar Pradesh,Loamy,Rabi,366.62,554.84,293.3,0.793,73.32,92.46,43.48,Controlled Irrigation,47.73,44131.16
Sugarcane,Kerala,Alluvial,Kharif,1794.72,351.08,245.93,0.902,1477.0,1638.07,22.59,Alternate Wetting / Controlled Irrigation,30.95,506982.66
Onion,Telangana,Sandy,Kharif,437.68,672.36,350.15,0.828,140.06,169.18,39.19,Drip Irrigation,19.66,33260.79
Banana,Odisha,Loamy,Kharif,1158.93,256.82,141.72,0.771,1017.22,1320.07,11.87,Controlled Irrigation,74.15,978831.9
Tomato,Assam,Red,Rabi,455.13,1266.01,364.11,0.733,113.78,155.16,36.71,Drip or Sprinkler Irrigation,56.56,87758.5
Potato,West Bengal,Alluvial,Rabi,463.78,1411.87,371.02,0.687,74.2,108.02,25.34,Alternate Wetting / Controlled Irrigation,91.37,98697.87
Lentil,Haryana,Alluvial,Rabi,443.31,739.54,354.65,0.699,70.93,101.47,41.85,Alternate Wetting / Controlled Irrigation,1.29,1308.96
Chickpea,Maharashtra,Red,Rabi,381.31,321.4,255.33,0.775,145.04,187.17,28.24,Drip or Sprinkler Irrigation,19.67,36816.34
Onion,Rajasthan,Loamy,Rabi,437.25,1147.47,349.8,0.79,87.45,110.73,43.81,Controlled Irrigation,54.92,60812.92
Chickpea,Karnataka,Black,Rabi,352.39,616.38,281.91,0.785,63.43,80.79,39.29,Drip Irrigation,43.23,34925.52
Onion,Punjab,Loamy,Rabi,490.81,887.49,392.65,0.759,98.16,129.4,40.74,Controlled Irrigation,99.67,128972.98
Barley,Chhattisgarh,Alluvial,Rabi,394.91,1307.55,315.92,0.85,63.18,74.35,26.47,Alternate Wetting / Controlled Irrigation,57.46,42721.51
Chickpea,Andhra Pradesh,Black,Rabi,368.45,491.81,294.76,0.887,66.32,74.74,33.58,Drip Irrigation,9.6,7175.04
Groundnut,Andhra Pradesh,Loamy,Kharif,434.47,1266.67,347.58,0.687,86.89,126.51,39.63,Controlled Irrigation,44.16,55866.82
Jute,Telangana,Alluvial,Kharif,631.33,384.46,264.86,0.906,341.22,376.46,25.76,Alternate Wetting / Controlled Irrigation,17.94,67536.92
Mustard,Maharashtra,Loamy,Rabi,401.08,1623.64,320.86,0.723,80.22,110.9,27.31,Controlled Irrigation,20.51,22745.59
Groundnut,Haryana,Loamy,Kharif,459.47,935.92,367.57,0.822,91.89,111.85,38.92,Controlled Irrigation,30.69,34326.76
Sugarcane,Rajasthan,Alluvial,Kharif,1577.21,593.95,395.72,0.834,1118.4,1341.47,19.09,Alternate Wetting / Controlled Irrigation,77.52,1039907.54
Banana,Bihar,Alluvial,Kharif,1238.73,1184.13,956.72,0.742,232.46,313.34,27.18,Alternate Wetting / Controlled Irrigation,56.68,177601.11
Maize,Jharkhand,Alluvial,Rabi,749.93,598.79,408.75,0.726,311.18,428.78,16.72,Alternate Wetting / Controlled Irrigation,64.83,277978.07
Soybean,Gujarat,Red,Kharif,555.22,1034.88,444.18,0.89,138.8,155.97,30.77,Drip or Sprinkler Irrigation,36.45,56851.07
Tomato,Uttar Pradesh,Alluvial,Rabi,542.03,1136.85,433.63,0.887,86.73,97.72,29.33,Alternate Wetting / Controlled Irrigation,71.78,70143.42
Lentil,Bihar,Alluvial,Rabi,369.84,850.46,295.87,0.904,59.17,65.45,39.98,Alternate Wetting / Controlled Irrigation,77.46,50697.57
Maize,Uttarakhand,Alluvial,Rabi,601.98,853.99,481.58,0.693,96.32,138.89,34.49,Alternate Wetting / Controlled Irrigation,42.78,59417.14
Cotton,Telangana,Loamy,Kharif,695.49,1360.83,556.39,0.727,139.1,191.22,40.75,Controlled Irrigation,15.66,29945.05
Sugarcane,Haryana,Loamy,Kharif,1615.51,488.29,374.67,0.748,1240.85,1658.39,25.79,Controlled Irrigation,90.71,1504325.57
Banana,Jharkhand,Loamy,Kharif,1021.34,1172.58,817.07,0.916,204.27,223.09,36.9,Controlled Irrigation,53.86,120156.27
Lentil,Tamil Nadu,Loamy,Rabi,398.34,1321.25,318.67,0.712,79.67,111.97,44.61,Controlled Irrigation,33.92,37980.22
Mustard,Uttarakhand,Loamy,Rabi,471.73,626.63,377.39,0.747,94.35,126.23,28.18,Controlled Irrigation,50.42,63645.17
Sugarcane,Kerala,Loamy,Kharif,1421.85,615.27,406.78,0.652,1015.07,1555.68,17.96,Controlled Irrigation,71.56,1113244.61
Chickpea,Odisha,Loamy,Rabi,444.0,359.74,292.05,0.736,151.95,206.56,24.55,Controlled Irrigation,76.18,157357.41
Mustard,Karnataka,Alluvial,Rabi,393.02,572.83,314.42,0.869,62.88,72.35,29.48,Alternate Wetting / Controlled Irrigation,9.87,7140.94
Soybean,Tamil Nadu,Black,Kharif,576.8,765.85,461.44,0.821,103.82,126.47,27.06,Drip Irrigation,90.0,113823.0
Cotton,Andhra Pradesh,Loamy,Kharif,806.48,1340.84,645.19,0.746,161.3,216.23,28.37,Controlled Irrigation,81.03,175211.17
Carrot,West Bengal,Sandy,Rabi,423.05,588.13,338.44,0.829,135.37,163.3,25.88,Drip Irrigation,84.57,138102.81
Potato,Karnataka,Sandy,Rabi,554.8,1258.71,443.84,0.84,177.54,211.48,35.64,Drip Irrigation,66.71,141078.31
Wheat,West Bengal,Loamy,Rabi,489.39,701.46,391.51,0.787,97.88,124.41,33.75,Controlled Irrigation,58.21,72419.06
Millet,Uttarakhand,Red,Kharif,467.99,1612.63,374.39,0.82,117.0,142.68,33.7,Drip or Sprinkler Irrigation,7.45,10629.66
